instant_days,dteday,season_days,yr_days,mnth_days,holiday_days,weekday_days,workingday_days,weathersit_days,temp_days,atemp_days,hum_days,windspeed_days,casual_days,registered_days,cnt_days,instant_hourly,yr_hourly,mnth_hourly,hr,holiday_hourly,weekday_hourly,workingday_hourly,weathersit_hourly,hum_hourly,casual_hourly,registered_hourly,cnt_hourly
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,1,0,1,0,0,6,0,1,0.81,3,13,16
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2,0,1,1,0,6,0,1,0.8,8,32,40
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,3,0,1,2,0,6,0,1,0.8,5,27,32
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,4,0,1,3,0,6,0,1,0.75,3,10,13
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,5,0,1,4,0,6,0,1,0.75,0,1,1
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,6,0,1,5,0,6,0,2,0.75,0,1,1
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,7,0,1,6,0,6,0,1,0.8,2,0,2
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,8,0,1,7,0,6,0,1,0.86,1,2,3
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,9,0,1,8,0,6,0,1,0.75,1,7,8
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,10,0,1,9,0,6,0,1,0.76,8,6,14
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,11,0,1,10,0,6,0,1,0.76,12,24,36
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,12,0,1,11,0,6,0,1,0.81,26,30,56
